abs_polarity,polarity_subjectivity,spacy_similarity,finbert_Negative,finbert_Neutral,finbert_Positive,target
0.0833333333333333,0.027777777777777766,0.4438891438331458,False,False,True,5
0.1418426755696128,0.045065415274363425,0.5060693948395428,False,True,False,5
0.074,0.03594502564102564,0.4462623726631455,False,True,False,4
0.0,0.0,0.4294972688633235,False,True,False,7
0.1384695165945166,0.06409109568813472,0.5052231191559564,False,False,True,5
0.8,-0.8,0.6373466247620803,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,1
0.0,0.0,0.5147414015651496,True,False,False,6
0.2033905228758169,0.062346506685462814,0.541699783223264,False,True,False,6
0.1488588137190621,0.06331743743774107,0.506413012481099,False,False,True,6
0.0,0.0,0.3791292747021311,True,False,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.0999999999999999,-0.07499999999999993,0.4002115869973284,False,False,True,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,6
0.1023958068075714,0.041748172391447035,0.5266745923820029,False,True,False,4
0.0,0.0,0.4973850545267466,False,True,False,5
1.0,1.0,0.4864177038001064,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1133608815426997,0.04019158527422989,0.4667035971619135,False,False,True,6
0.0,0.0,0.3588692744256093,False,True,False,5
0.5,0.25,0.4683699425597132,False,False,True,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1333333333333333,-0.01777777777777777,0.5217966589316798,True,False,False,5
0.225064935064935,0.116975307809074,0.4449685939264111,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.0,0.0,0.4749174027189625,True,False,False,5
0.1622108843537415,0.05156279740343881,0.5060798999481351,False,False,True,3
0.1585421441303794,0.054908668378910584,0.5001407846022407,False,False,True,3
0.4166666666666667,0.20833333333333334,0.5307007258967169,True,False,False,3
0.125,-0.021875,0.4019459968911473,False,True,False,3
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,3
0.0805500658761528,0.046104034740774284,0.5131662181308416,False,False,True,3
0.2334190115440115,0.11440647187383521,0.4911589338309232,False,True,False,3
0.1399617871840094,0.05993345907184375,0.5037933560105584,False,False,True,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.0,0.0,0.4736032757896602,False,True,False,5
0.0,0.0,0.3724111874598907,False,True,False,5
0.375,0.15624999999999997,0.3798492970478636,False,True,False,5
0.2499409056551914,0.1158234709721089,0.5043611697904726,False,True,False,4
0.1707702325922664,0.06794391101252513,0.4954515162242066,False,True,False,6
0.08,0.0466,0.4818681839973331,False,False,True,6
0.1864,0.07373984,0.4458539694742251,False,False,True,5
0.1485381635907951,0.05477140312583345,0.5239671616441709,False,False,True,5
0.0814676616915422,0.0388592640033662,0.4763278065069654,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.5,0.25,0.5016710844358688,False,False,True,5
0.0891360412637008,0.03330101812395321,0.4590426540448684,False,False,True,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1488372093023255,0.07087074094104916,0.4809501891297623,False,True,False,5
0.0,0.0,0.4775942925868667,False,True,False,4
0.2363116458704693,0.09892453607687687,0.5262878711980307,False,True,False,5
0.1497888366422849,0.08097160081091571,0.5190555577304763,False,False,True,5
0.1975478285155704,0.08324352316474896,0.5175444244685539,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.0,0.0,0.4859452016899446,False,True,False,5
0.1190094219505984,-0.053719404468966316,0.5520004684969905,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1695090889721761,0.07509285309769506,0.5097916368917482,False,False,True,5
0.0,0.0,0.5300467040883925,False,True,False,5
0.0930976430976431,0.04136105726173066,0.4634145798281722,False,True,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,5
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,6
0.1743069365530302,0.068466848576233,0.4980098180621207,False,True,False,6
0.2454166666666666,0.13201371527777772,0.4479503743242171,False,False,True,6
0.1044675324675324,0.03047218429189855,0.5165164914200558,False,True,False,6
0.1071428571428571,-0.05548469387755099,0.468301589234064,True,False,False,4
0.0,0.0,0.471477054064088,True,False,False,4
0.0,0.0,0.5289023780167845,False,True,False,4
0.375,0.28125,0.403236209588337,False,True,False,4
0.1318732681769491,0.04193293010391276,0.5064406857869117,False,False,True,4
0.073968678380443,0.03132657663211124,0.513962492202217,False,True,False,4
