ticker,date,textblob_polarity,textblob_subjectivity,finbert_label,finbert_score,spacy_similarity,return_1d
AAPL,2024-03-28,0.0833333333333333,0.3333333333333333,Positive,0.9993139505386353,0.4438891410827636,-0.00845574252916641
AAPL,2024-03-28,0.1378600024636608,0.320694565427797,Positive,0.9766284823417664,0.503567099571228,-0.00845574252916641
AAPL,2024-03-27,0.074,0.4857435897435898,Neutral,0.9997668862342834,0.4488933980464935,-0.010559092197778527
AAPL,2024-03-27,0.1470063538611925,0.428276427873202,Neutral,0.9998371601104736,0.5236197113990784,-0.010559092197778527
AAPL,2024-03-26,0.0,0.1833333333333333,Neutral,0.8583370447158813,0.4294973313808441,0.021212582470666933
AAPL,2024-03-22,0.1409488795518207,0.4505252100840337,Neutral,0.9785799980163574,0.5083642601966858,-0.00830043672598868
AAPL,2024-03-21,0.1384695165945166,0.462853465978466,Positive,0.7016371488571167,0.5048080086708069,0.005310193849182014
AAPL,2024-03-21,-0.8,1.0,Neutral,0.9999983310699464,0.637346625328064,0.005310193849182014
AAPL,2024-03-20,0.1595258136924803,0.3949985970819304,Negative,0.5374237895011902,0.5100371837615967,-0.04085741152590459
AAPL,2024-03-19,0.0,0.0,Negative,0.9947339296340942,0.5147414803504944,0.014709265180169583
AAPL,2024-03-18,0.2227102102102102,0.31006006006006,Neutral,0.9994316697120668,0.5395101308822632,0.013584983120810483
AAPL,2024-03-18,0.170352540977541,0.4602011088040501,Neutral,0.904194474220276,0.5110966563224792,0.013584983120810483
AAPL,2024-03-15,0.0,0.0,Negative,0.9857649207115172,0.3791292905807495,0.006372396035474612
AAPL,2024-03-14,0.0477006911217437,0.4361709197235514,Neutral,0.9999169111251832,0.5322033166885376,-0.002196563499578402
AAPL,2024-03-14,-0.0999999999999999,0.75,Positive,1.0,0.4002115726470947,-0.002196563499578402
AAPL,2024-03-13,0.2174242424242424,0.4371212121212121,Neutral,0.9999256134033204,0.554460346698761,0.0109273315787036
AAPL,2024-03-12,0.0823653874215671,0.487379006761029,Neutral,0.9999014139175416,0.5279292464256287,-0.0121224527290984
AAPL,2024-03-11,0.0,0.25,Neutral,0.8972613215446472,0.4973849952220917,0.002778453725007628
AAPL,2024-03-11,1.0,1.0,Neutral,0.9972164630889891,0.4864177107810974,0.002778453725007628
AAPL,2024-03-11,0.1810064935064934,0.4652597402597402,Neutral,0.9984971284866332,0.5654946565628052,0.002778453725007628
AAPL,2024-03-08,0.1562015993265993,0.4565355940355939,Neutral,0.902634859085083,0.5340738892555237,0.011831585802097037
AAPL,2024-03-06,0.0,0.0,Neutral,0.9999879598617554,0.3588692545890808,-0.0007094320835719334
